Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
1. User Login,100,91,90,105,109,122,71,156,"0,000%",",10100","0,14","0,03"
JSR223 Sampler - Feliz,75,2,1,3,4,17,0,27,"0,000%",",07653","0,00","0,00"
2. Get User Profile,100,34,35,52,55,56,9,57,"0,000%",",10101","0,13","0,05"
3. Browse Products,100,62,65,104,107,110,13,112,"0,000%",",10101","1,25","0,03"
4. Get Product Details,100,33,30,56,60,62,8,62,"0,000%",",10101","0,16","0,03"
Create Cart,100,38,39,57,59,62,12,63,"0,000%",",10101","0,13","0,06"
Add Item,100,106,107,147,154,159,59,161,"0,000%",",10100","0,13","0,07"
Get Items,100,34,33,57,58,61,7,65,"0,000%",",10101","0,15","0,05"
Update Item,100,74,74,105,107,110,34,111,"0,000%",",10101","0,13","0,07"
Delete Item,100,33,34,53,58,60,6,64,"0,000%",",10102","0,10","0,06"
Create Order,100,278,314,397,406,409,5,409,"16,000%",",10102","0,14","0,07"
Get Order Status,100,29,27,54,59,62,2,74,"16,000%",",10105","0,12","0,05"
Create Payment,100,417,523,922,953,1005,5,1009,"50,000%",",10106","0,12","0,07"
Get Payment,100,17,7,49,53,61,3,61,"66,000%",",10114","0,12","0,05"
JSR223 Sampler - Fallo,25,2,1,2,5,24,1,24,"0,000%",",02604","0,00","0,00"
TOTAL,1400,89,43,154,385,911,0,1009,"10,571%","1,41340","2,81","0,71"
