timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1760481955222,78,1. User Login,200,OK,Main Thread Group 1-1,text,true,,1404,326,1,1,http://192.168.1.67:8081/api/v1/auth/login,,78,1,0,Mica,0,1
1760481955301,27,JSR223 Sampler - Feliz,200,OK,Main Thread Group 1-1,text,true,,0,0,1,1,null,,0,1,0,Mica,0,0
1760481955331,48,2. Get User Profile,200,OK,Main Thread Group 1-1,text,true,,1328,556,1,1,http://192.168.1.67:8082/api/v1/users/61bff6e1-0f4c-48a4-986d-b2ab706c8343/profile,,47,1,0,Mica,0,1
1760481955382,46,3. Browse Products,200,OK,Main Thread Group 1-1,text,true,,12701,259,1,1,http://192.168.1.67:8083/api/v1/products?page=1&limit=20,,45,1,0,Mica,0,1
1760481955428,18,4. Get Product Details,200,OK,Main Thread Group 1-1,text,true,,1643,280,1,1,http://192.168.1.67:8083/api/v1/products/6202e28c-692f-4585-bca0-11797374ccb0,,18,1,0,Mica,0,1
1760481955449,42,Create Cart,201,Created,Main Thread Group 1-1,text,true,,1289,630,1,1,http://192.168.1.67:8084/api/v1/cart,,42,1,0,Mica,0,1
1760481955491,154,Add Item,201,Created,Main Thread Group 1-1,text,true,,1300,684,1,1,http://192.168.1.67:8084/api/v1/cart/f091cad8-3ab3-422a-a82a-95e4746a7a51/items,,154,1,0,Mica,0,0
1760481955646,31,Get Items,200,OK,Main Thread Group 1-1,text,true,,1497,552,1,1,http://192.168.1.67:8084/api/v1/cart/f091cad8-3ab3-422a-a82a-95e4746a7a51,,31,1,0,Mica,0,0
1760481955677,85,Update Item,200,OK,Main Thread Group 1-1,text,true,,1295,717,1,1,http://192.168.1.67:8084/api/v1/cart/f091cad8-3ab3-422a-a82a-95e4746a7a51/items/844d376c-454e-4b6e-bf5a-85a1a91db74a,,85,1,0,Mica,0,0
1760481955763,37,Delete Item,204,No Content,Main Thread Group 1-1,,true,,989,617,1,1,http://192.168.1.67:8084/api/v1/cart/f091cad8-3ab3-422a-a82a-95e4746a7a51/items/844d376c-454e-4b6e-bf5a-85a1a91db74a,,0,1,0,Mica,0,0
1760481955803,342,Create Order,201,Created,Main Thread Group 1-1,text,true,,1473,722,1,1,http://192.168.1.67:8085/api/v1/orders,,342,1,0,Mica,0,3
1760481956146,53,Get Order Status,200,OK,Main Thread Group 1-1,text,true,,1215,561,1,1,http://192.168.1.67:8085/api/v1/orders/7b3d9889-b5e8-41f0-82e1-d8c6344611f5/status,,53,1,0,Mica,0,0
1760481956200,852,Create Payment,201,Created,Main Thread Group 1-1,text,true,,1323,727,1,1,http://192.168.1.67:8086/api/v1/payments,,852,1,0,Mica,0,1
1760481957053,32,Get Payment,200,OK,Main Thread Group 1-1,text,true,,1419,556,1,1,http://192.168.1.67:8086/api/v1/payments/b010f5f6-19da-493d-92a0-3830a74ebe21,,32,1,0,Mica,0,0
1760481965230,87,1. User Login,200,OK,Main Thread Group 1-2,text,true,,1404,328,1,1,http://192.168.1.67:8081/api/v1/auth/login,,87,1,0,Mica,0,1
1760481965318,12,JSR223 Sampler - Feliz,200,OK,Main Thread Group 1-2,text,true,,0,0,1,1,null,,0,1,0,Mica,0,0
1760481965332,34,2. Get User Profile,200,OK,Main Thread Group 1-2,text,true,,1334,557,1,1,http://192.168.1.67:8082/api/v1/users/7ccc3e5f-8552-4965-aa86-a97e40592009/profile,,34,1,0,Mica,0,1
1760481965368,67,3. Browse Products,200,OK,Main Thread Group 1-2,text,true,,12701,259,1,1,http://192.168.1.67:8083/api/v1/products?page=1&limit=20,,66,1,0,Mica,0,2
1760481965435,52,4. Get Product Details,200,OK,Main Thread Group 1-2,text,true,,1643,280,1,1,http://192.168.1.67:8083/api/v1/products/6202e28c-692f-4585-bca0-11797374ccb0,,52,1,0,Mica,0,2
1760481965492,39,Create Cart,201,Created,Main Thread Group 1-2,text,true,,1289,631,1,1,http://192.168.1.67:8084/api/v1/cart,,39,1,0,Mica,0,2
1760481965532,77,Add Item,201,Created,Main Thread Group 1-2,text,true,,1300,685,1,1,http://192.168.1.67:8084/api/v1/cart/4d3ee671-c24f-488b-8b90-d13100a9e674/items,,77,1,0,Mica,0,0
1760481965609,30,Get Items,200,OK,Main Thread Group 1-2,text,true,,1497,553,1,1,http://192.168.1.67:8084/api/v1/cart/4d3ee671-c24f-488b-8b90-d13100a9e674,,30,1,0,Mica,0,0
1760481965640,38,Update Item,200,OK,Main Thread Group 1-2,text,true,,1295,718,1,1,http://192.168.1.67:8084/api/v1/cart/4d3ee671-c24f-488b-8b90-d13100a9e674/items/8a4461ce-1e59-48b0-ac39-0afb63ba90e3,,38,1,0,Mica,0,0
1760481965679,49,Delete Item,204,No Content,Main Thread Group 1-2,,true,,989,618,1,1,http://192.168.1.67:8084/api/v1/cart/4d3ee671-c24f-488b-8b90-d13100a9e674/items/8a4461ce-1e59-48b0-ac39-0afb63ba90e3,,0,1,0,Mica,0,0
1760481965730,348,Create Order,201,Created,Main Thread Group 1-2,text,true,,1473,723,1,1,http://192.168.1.67:8085/api/v1/orders,,348,1,0,Mica,0,1
