Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1. User Login,100,91,71,156,"11,93","0,000%",",10100","0,14","0,03","1401,5"
JSR223 Sampler - Feliz,75,2,0,27,"3,68","0,000%",",07653","0,00","0,00",",0"
2. Get User Profile,100,34,9,57,"14,52","0,000%",",10101","0,13","0,05","1332,5"
3. Browse Products,100,62,13,112,"29,40","0,000%",",10101","1,25","0,03","12701,0"
4. Get Product Details,100,33,8,62,"15,72","0,000%",",10101","0,16","0,03","1643,0"
Create Cart,100,38,12,63,"13,79","0,000%",",10101","0,13","0,06","1289,0"
Add Item,100,106,59,161,"30,17","0,000%",",10100","0,13","0,07","1300,0"
Get Items,100,34,7,65,"14,98","0,000%",",10101","0,15","0,05","1497,0"
Update Item,100,74,34,111,"23,21","0,000%",",10101","0,13","0,07","1295,0"
Delete Item,100,33,6,64,"14,83","0,000%",",10102","0,10","0,06","989,0"
Create Order,100,278,5,409,"128,77","16,000%",",10102","0,14","0,07","1412,0"
Get Order Status,100,29,2,74,"17,55","16,000%",",10105","0,12","0,05","1195,3"
Create Payment,100,417,5,1009,"409,69","50,000%",",10106","0,12","0,07","1210,1"
Get Payment,100,17,3,61,"17,75","66,000%",",10114","0,12","0,05","1203,8"
JSR223 Sampler - Fallo,25,2,1,24,"4,50","0,000%",",02604","0,00","0,00",",0"
TOTAL,1400,89,0,1009,"161,37","10,571%","1,41340","2,81","0,71","2033,5"
