Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1. User Login,200,94,71,152,"13,16","0,000%",",04020","0,06","0,01","1401,5"
JSR223 Sampler - Feliz,150,2,0,26,"2,99","0,000%",",03030","0,00","0,00",",0"
2. Get User Profile,200,37,10,63,"14,29","0,000%",",04020","0,05","0,02","1332,5"
3. Browse Products,200,62,10,113,"28,69","0,000%",",04020","0,50","0,01","12685,0"
4. Get Product Details,200,35,8,63,"14,10","0,000%",",04020","0,06","0,01","1648,0"
Create Cart,200,38,10,65,"14,58","0,000%",",04020","0,05","0,02","1289,0"
Add Item,200,111,57,166,"28,41","0,000%",",04020","0,05","0,03","1300,0"
Get Items,200,33,5,59,"15,43","0,000%",",04020","0,06","0,02","1497,0"
Update Item,200,71,34,112,"23,33","0,000%",",04020","0,05","0,03","1295,0"
Delete Item,200,33,6,61,"14,12","0,000%",",04020","0,04","0,02","989,0"
Create Order,200,314,208,414,"53,15","0,000%",",04020","0,06","0,03","1473,0"
Get Order Status,200,33,6,61,"15,73","0,000%",",04020","0,05","0,02","1215,0"
Create Payment,200,776,512,1013,"144,30","5,000%",",04020","0,05","0,03","1322,0"
Get Payment,190,28,2,62,"17,34","15,263%",",03819","0,05","0,02","1369,1"
JSR223 Sampler - Fallo,50,2,1,28,"3,76","0,000%",",01020","0,00","0,00",",0"
TOTAL,2790,119,0,1013,"201,62","1,398%",",55992","1,13","0,28","2060,8"
